last_changed,state,entity_id
"2020-09-16 00:00:41.503556","{""sensor"":""HTU21"",""time"":532800268,""temp"":22.79878,""hum"":60.01715}",sensor.arduino_sensor
"2020-09-16 00:02:41.680643","{""sensor"":""HTU21"",""time"":532920426,""temp"":22.80951,""hum"":60.03241}",sensor.arduino_sensor
"2020-09-16 00:04:41.839855","{""sensor"":""HTU21"",""time"":533040602,""temp"":22.79878,""hum"":60.04004}",sensor.arduino_sensor
"2020-09-16 00:06:41.990860","{""sensor"":""HTU21"",""time"":533160727,""temp"":22.80951,""hum"":60.02478}",sensor.arduino_sensor
"2020-09-16 00:08:42.200154","{""sensor"":""HTU21"",""time"":533280927,""temp"":22.79878,""hum"":60.0553}",sensor.arduino_sensor
"2020-09-16 00:10:42.319775","{""sensor"":""HTU21"",""time"":533401086,""temp"":22.80951,""hum"":60.04004}",sensor.arduino_sensor
"2020-09-16 00:12:42.470200","{""sensor"":""HTU21"",""time"":533521243,""temp"":22.80951,""hum"":60.03241}",sensor.arduino_sensor
"2020-09-16 00:14:42.670390","{""sensor"":""HTU21"",""time"":533641429,""temp"":22.79878,""hum"":60.04004}",sensor.arduino_sensor
"2020-09-16 00:16:42.779008","{""sensor"":""HTU21"",""time"":533761489,""temp"":22.80951,""hum"":60.04767}",sensor.arduino_sensor
"2020-09-16 00:18:42.960993","{""sensor"":""HTU21"",""time"":533881644,""temp"":22.79878,""hum"":59.979}",sensor.arduino_sensor
"2020-09-16 00:20:43.242820","{""sensor"":""HTU21"",""time"":534001822,""temp"":22.80951,""hum"":60.00952}",sensor.arduino_sensor
"2020-09-16 00:22:43.295358","{""sensor"":""HTU21"",""time"":534121976,""temp"":22.79878,""hum"":59.97137}",sensor.arduino_sensor
"2020-09-16 00:24:43.397688","{""sensor"":""HTU21"",""time"":534242171,""temp"":22.80951,""hum"":59.95612}",sensor.arduino_sensor
"2020-09-16 00:26:43.533007","{""sensor"":""HTU21"",""time"":534362237,""temp"":22.82023,""hum"":59.99426}",sensor.arduino_sensor
"2020-09-16 00:28:43.720955","{""sensor"":""HTU21"",""time"":534482406,""temp"":22.82023,""hum"":59.91797}",sensor.arduino_sensor
"2020-09-16 00:30:43.895646","{""sensor"":""HTU21"",""time"":534602597,""temp"":22.80951,""hum"":59.979}",sensor.arduino_sensor
"2020-09-16 00:32:44.084342","{""sensor"":""HTU21"",""time"":534722786,""temp"":22.80951,""hum"":60.02478}",sensor.arduino_sensor
"2020-09-16 00:34:44.207813","{""sensor"":""HTU21"",""time"":534842942,""temp"":22.79878,""hum"":60.00952}",sensor.arduino_sensor
"2020-09-16 00:36:44.397652","{""sensor"":""HTU21"",""time"":534963126,""temp"":22.78806,""hum"":60.00952}",sensor.arduino_sensor
"2020-09-16 00:38:44.509316","{""sensor"":""HTU21"",""time"":535083230,""temp"":22.79878,""hum"":60.0553}",sensor.arduino_sensor
"2020-09-16 00:40:44.670234","{""sensor"":""HTU21"",""time"":535203410,""temp"":22.77733,""hum"":60.10107}",sensor.arduino_sensor
"2020-09-16 00:42:44.840655","{""sensor"":""HTU21"",""time"":535323585,""temp"":22.79878,""hum"":60.09344}",sensor.arduino_sensor
"2020-09-16 00:44:45.070736","{""sensor"":""HTU21"",""time"":535443767,""temp"":22.77733,""hum"":60.11633}",sensor.arduino_sensor
"2020-09-16 00:46:45.008796","{""sensor"":""HTU21"",""time"":535563782,""temp"":22.77733,""hum"":60.16974}",sensor.arduino_sensor
"2020-09-16 00:48:45.140686","{""sensor"":""HTU21"",""time"":535683863,""temp"":22.77733,""hum"":60.22314}",sensor.arduino_sensor
"2020-09-16 00:50:45.168278","{""sensor"":""HTU21"",""time"":535803866,""temp"":22.76661,""hum"":60.20789}",sensor.arduino_sensor
"2020-09-16 00:52:45.329377","{""sensor"":""HTU21"",""time"":535924066,""temp"":22.75588,""hum"":60.26892}",sensor.arduino_sensor
"2020-09-16 00:54:45.521594","{""sensor"":""HTU21"",""time"":536044252,""temp"":22.76661,""hum"":60.25366}",sensor.arduino_sensor
"2020-09-16 00:56:45.565232","{""sensor"":""HTU21"",""time"":536164269,""temp"":22.74516,""hum"":60.24603}",sensor.arduino_sensor
"2020-09-16 00:58:45.845507","{""sensor"":""HTU21"",""time"":536284452,""temp"":22.76661,""hum"":60.26129}",sensor.arduino_sensor
"2020-09-16 01:00:46.033580","{""sensor"":""HTU21"",""time"":536404524,""temp"":22.76661,""hum"":60.34521}",sensor.arduino_sensor
"2020-09-16 01:02:46.146613","{""sensor"":""HTU21"",""time"":536524681,""temp"":22.78806,""hum"":60.30707}",sensor.arduino_sensor
"2020-09-16 01:04:46.113270","{""sensor"":""HTU21"",""time"":536644843,""temp"":22.78806,""hum"":60.2384}",sensor.arduino_sensor
"2020-09-16 01:06:46.135197","{""sensor"":""HTU21"",""time"":536764861,""temp"":22.79878,""hum"":60.22314}",sensor.arduino_sensor
"2020-09-16 01:08:46.333063","{""sensor"":""HTU21"",""time"":536885026,""temp"":22.79878,""hum"":60.20026}",sensor.arduino_sensor
"2020-09-16 01:10:46.415217","{""sensor"":""HTU21"",""time"":537005102,""temp"":22.79878,""hum"":60.20789}",sensor.arduino_sensor
"2020-09-16 01:12:46.581371","{""sensor"":""HTU21"",""time"":537125288,""temp"":22.79878,""hum"":60.21552}",sensor.arduino_sensor
"2020-09-16 01:14:46.555234","{""sensor"":""HTU21"",""time"":537245291,""temp"":22.79878,""hum"":60.19263}",sensor.arduino_sensor
"2020-09-16 01:16:46.738617","{""sensor"":""HTU21"",""time"":537365473,""temp"":22.80951,""hum"":60.17737}",sensor.arduino_sensor
"2020-09-16 01:18:46.860698","{""sensor"":""HTU21"",""time"":537485617,""temp"":22.80951,""hum"":60.15448}",sensor.arduino_sensor
"2020-09-16 01:20:47.000755","{""sensor"":""HTU21"",""time"":537605699,""temp"":22.80951,""hum"":60.16974}",sensor.arduino_sensor
"2020-09-16 01:22:47.210799","{""sensor"":""HTU21"",""time"":537725883,""temp"":22.80951,""hum"":60.185}",sensor.arduino_sensor
"2020-09-16 01:24:47.333136","{""sensor"":""HTU21"",""time"":537846047,""temp"":22.80951,""hum"":60.14685}",sensor.arduino_sensor
"2020-09-16 01:26:47.711735","{""sensor"":""HTU21"",""time"":537966224,""temp"":22.80951,""hum"":60.12396}",sensor.arduino_sensor
"2020-09-16 01:28:47.660641","{""sensor"":""HTU21"",""time"":538086401,""temp"":22.80951,""hum"":60.11633}",sensor.arduino_sensor
"2020-09-16 01:30:47.732029","{""sensor"":""HTU21"",""time"":538206496,""temp"":22.80951,""hum"":60.13922}",sensor.arduino_sensor
"2020-09-16 01:32:47.958922","{""sensor"":""HTU21"",""time"":538326691,""temp"":22.80951,""hum"":60.1087}",sensor.arduino_sensor
"2020-09-16 01:34:48.166546","{""sensor"":""HTU21"",""time"":538446875,""temp"":22.80951,""hum"":60.04767}",sensor.arduino_sensor
"2020-09-16 01:36:48.479334","{""sensor"":""HTU21"",""time"":538567072,""temp"":22.79878,""hum"":60.02478}",sensor.arduino_sensor
"2020-09-16 01:38:48.603321","{""sensor"":""HTU21"",""time"":538687254,""temp"":22.78806,""hum"":60.15448}",sensor.arduino_sensor
"2020-09-16 01:40:48.675717","{""sensor"":""HTU21"",""time"":538807369,""temp"":22.77733,""hum"":60.21552}",sensor.arduino_sensor
"2020-09-16 01:42:48.819002","{""sensor"":""HTU21"",""time"":538927534,""temp"":22.77733,""hum"":60.25366}",sensor.arduino_sensor
"2020-09-16 01:44:48.992640","{""sensor"":""HTU21"",""time"":539047722,""temp"":22.77733,""hum"":60.29944}",sensor.arduino_sensor
"2020-09-16 01:46:49.178101","{""sensor"":""HTU21"",""time"":539167881,""temp"":22.77733,""hum"":60.39099}",sensor.arduino_sensor
"2020-09-16 01:48:49.179237","{""sensor"":""HTU21"",""time"":539287891,""temp"":22.76661,""hum"":60.32996}",sensor.arduino_sensor
"2020-09-16 01:50:49.390608","{""sensor"":""HTU21"",""time"":539408099,""temp"":22.76661,""hum"":60.39099}",sensor.arduino_sensor
"2020-09-16 01:52:49.439329","{""sensor"":""HTU21"",""time"":539528162,""temp"":22.76661,""hum"":60.38336}",sensor.arduino_sensor
"2020-09-16 01:54:49.660839","{""sensor"":""HTU21"",""time"":539648351,""temp"":22.75588,""hum"":60.42914}",sensor.arduino_sensor
"2020-09-16 01:56:49.998077","{""sensor"":""HTU21"",""time"":539768538,""temp"":22.76661,""hum"":60.38336}",sensor.arduino_sensor
"2020-09-16 01:58:49.844632","{""sensor"":""HTU21"",""time"":539888559,""temp"":22.76661,""hum"":60.43677}",sensor.arduino_sensor
"2020-09-16 02:00:49.999984","{""sensor"":""HTU21"",""time"":540008709,""temp"":22.75588,""hum"":60.42914}",sensor.arduino_sensor
"2020-09-16 02:02:51.307024","{""sensor"":""HTU21"",""time"":540128828,""temp"":22.74516,""hum"":60.55121}",sensor.arduino_sensor
"2020-09-16 02:04:51.792885","{""sensor"":""HTU21"",""time"":540249024,""temp"":22.75588,""hum"":60.81061}",sensor.arduino_sensor
"2020-09-16 02:06:50.535882","{""sensor"":""HTU21"",""time"":540369218,""temp"":22.75588,""hum"":60.81824}",sensor.arduino_sensor
"2020-09-16 02:08:50.694804","{""sensor"":""HTU21"",""time"":540489414,""temp"":22.75588,""hum"":60.82587}",sensor.arduino_sensor
"2020-09-16 02:10:50.855112","{""sensor"":""HTU21"",""time"":540609593,""temp"":22.74516,""hum"":60.79535}",sensor.arduino_sensor
"2020-09-16 02:12:51.075320","{""sensor"":""HTU21"",""time"":540729707,""temp"":22.75588,""hum"":60.78772}",sensor.arduino_sensor
"2020-09-16 02:14:51.151713","{""sensor"":""HTU21"",""time"":540849850,""temp"":22.75588,""hum"":60.71143}",sensor.arduino_sensor
"2020-09-16 02:16:51.335687","{""sensor"":""HTU21"",""time"":540970032,""temp"":22.75588,""hum"":60.20026}",sensor.arduino_sensor
"2020-09-16 02:18:51.352174","{""sensor"":""HTU21"",""time"":541090062,""temp"":22.75588,""hum"":60.45203}",sensor.arduino_sensor
